"","age","sex","pclass","embarked","survived","predictedGLM"
"4",30,"male","first","S",0,0
"5",25,"female","first","S",0,1
"8",39,"male","first","S",0,0
"11",47,"male","first","C",0,0
"16",29.881,"male","first","S",0,0
"17",24,"male","first","C",0,1
"20",36,"male","first","C",0,0
"23",26,"male","first","C",1,1
"28",19,"female","first","C",1,1
"29",35,"female","first","S",1,1
"32",40,"male","first","C",1,0
"35",42,"male","first","S",0,0
"40",48,"male","first","C",0,0
"41",29.881,"male","first","C",0,1
"44",60,"female","first","C",1,1
"47",29.881,"male","first","S",0,0
"52",33,"male","first","S",0,0
"53",28,"male","first","S",0,0
"56",14,"female","first","S",1,1
"59",49,"male","first","S",0,0
"64",47,"female","first","S",1,1
"65",27,"male","first","S",1,0
"68",30,"female","first","S",1,1
"71",29.881,"male","first","S",0,0
"76",47,"male","first","S",0,0
"77",39,"female","first","C",1,1
"80",55,"female","first","S",1,1
"83",36,"female","first","S",1,1
"88",27,"male","first","S",1,0
"89",33,"female","first","S",1,1
"92",31,"male","first","S",1,0
"95",4,"male","first","S",1,1
"100",48,"female","first","C",1,1
"101",49,"male","first","C",1,0
"104",38,"female","first","C",1,1
"107",29.881,"male","first","S",0,0
"112",24,"female","first","S",1,1
"113",28,"female","first","S",1,1
"116",64,"male","first","S",0,0
"119",29.881,"male","first","S",0,0
"124",60,"male","first","C",1,0
"125",48,"female","first","C",1,1
"128",35,"female","first","S",1,1
"131",22,"female","first","C",1,1
"136",71,"male","first","C",0,0
"137",53,"male","first","C",1,0
"140",58,"female","first","S",1,1
"143",46,"male","first","C",0,0
"148",29.881,"male","first","S",0,0
"149",45,"male","first","S",0,0
"152",27,"male","first","C",1,1
"155",55,"male","first","S",0,0
"160",16,"female","first","C",1,1
"161",44,"female","first","C",1,1
"164",35,"female","first","S",1,1
"167",29.881,"male","first","C",0,1
"172",46,"male","first","S",0,0
"173",50,"male","first","S",0,0
"176",41,"male","first","S",0,0
"179",45,"female","first","S",1,1
"184",35,"male","first","C",1,0
"185",29.881,"male","first","C",0,1
"188",16,"female","first","S",1,1
"191",21,"female","first","S",1,1
"196",16,"female","first","S",1,1
"197",29.881,"male","first","C",1,1
"200",24,"female","first","C",1,1
"203",36,"male","first","S",1,0
"208",33,"female","first","Q",1,1
"209",37,"female","first","Q",1,1
"212",47,"male","first","S",0,0
"215",23,"female","first","C",1,1
"220",29.881,"male","first","C",1,1
"221",22,"female","first","C",1,1
"224",29.881,"male","first","S",0,0
"227",29,"male","first","S",0,0
"232",52,"male","first","S",1,0
"233",47,"male","first","S",0,0
"236",29.881,"male","first","S",1,0
"239",43,"female","first","S",1,1
"244",46,"male","first","C",0,0
"245",36,"male","first","C",0,0
"248",54,"female","first","C",1,1
"251",18,"female","first","C",1,1
"256",24,"female","first","C",1,1
"257",29.881,"male","first","S",1,0
"260",34,"male","first","S",1,0
"263",50,"male","first","S",0,0
"268",56,"male","first","C",0,0
"269",24,"male","first","S",0,0
"272",24,"male","first","S",1,0
"275",45,"male","first","C",1,0
"280",62,"male","first","S",0,0
"281",54,"male","first","C",1,0
"284",29.881,"male","first","C",0,1
"287",63,"female","first","S",0,1
"292",39,"female","first","S",1,1
"293",48,"male","first","S",1,0
"296",17,"male","first","C",1,1
"299",31,"male","first","C",1,1
"304",64,"male","first","C",0,0
"305",60,"female","first","C",1,1
"308",21,"male","first","S",0,1
"311",57,"male","first","S",0,0
"316",21,"female","first","S",1,1
"317",51,"male","first","C",0,0
"320",31,"female","first","C",1,1
"323",36,"female","first","C",1,1
"328",25,"male","second","S",0,0
"329",34,"male","second","S",0,0
"332",18,"male","second","S",0,0
"335",28,"male","second","S",0,0
"340",1,"male","second","S",1,0
"341",4,"female","second","S",1,1
"344",34,"male","second","S",1,0
"347",26,"male","second","S",0,0
"352",60,"male","second","S",0,0
"353",40,"female","second","S",1,1
"356",36,"female","second","S",1,1
"359",42,"female","second","S",1,1
"364",29.881,"male","second","S",0,0
"365",19,"male","second","S",0,0
"368",52,"male","second","S",0,0
"371",25,"female","second","S",1,1
"376",28,"male","second","S",0,0
"377",24,"male","second","S",1,0
"380",31,"female","second","S",1,1
"383",29.881,"female","second","S",0,1
"388",48,"female","second","S",1,1
"389",28,"female","second","S",1,1
"392",29,"male","second","C",0,0
"395",18,"male","second","S",0,0
"400",42,"male","second","S",0,0
"401",34,"female","second","S",1,1
"404",23,"male","second","S",0,0
"407",40,"male","second","S",0,0
"412",38,"female","second","S",0,1
"413",35,"male","second","S",0,0
"416",34,"female","second","S",1,1
"419",47,"male","second","S",0,0
"424",34,"male","second","S",0,0
"425",30,"male","second","S",0,0
"428",0.6667,"male","second","S",1,0
"431",6,"female","second","S",1,1
"436",43,"male","second","S",0,0
"437",45,"female","second","S",1,1
"440",49,"male","second","S",0,0
"443",24,"male","second","S",0,0
"448",23,"male","second","S",0,0
"449",36,"male","second","S",0,0
"452",44,"male","second","S",0,0
"455",42,"male","second","S",1,0
"460",42,"male","second","S",0,0
"461",24,"female","second","S",1,1
"464",22,"male","second","S",0,0
"467",34,"male","second","S",0,0
"472",45,"female","second","S",1,1
"473",57,"male","second","Q",0,0
"476",26,"female","second","S",0,1
"479",1,"female","second","C",1,1
"484",29.881,"female","second","S",1,1
"485",34,"female","second","S",1,1
"488",61,"male","second","Q",0,0
"491",57,"female","second","S",0,1
"496",29.881,"male","second","C",0,0
"497",30,"male","second","S",0,0
"500",30,"male","second","S",0,0
"503",41,"female","second","S",1,1
"508",27,"male","second","S",0,0
"509",54,"male","second","S",0,0
"512",62,"male","second","Q",0,0
"515",2,"male","second","S",1,0
"520",28,"male","second","S",0,0
"521",20,"male","second","C",1,0
"524",22,"male","second","S",1,0
"527",29,"male","second","C",1,0
"532",29.881,"male","second","C",0,0
"533",41,"male","second","S",0,0
"536",43,"male","second","S",0,0
"539",30,"male","second","C",1,0
"544",36,"male","second","S",0,0
"545",34,"male","second","S",0,0
"548",23,"male","second","C",0,0
